amostra,fator,escore_bruto,percentil,classificacao
Amostra Geral,F1_Desatencao,0,< 1,Inferior
Amostra Geral,F1_Desatencao,1,< 1,Inferior
Amostra Geral,F1_Desatencao,2,< 1,Inferior
Amostra Geral,F1_Desatencao,3,< 1,Inferior
Amostra Geral,F1_Desatencao,4,< 1,Inferior
Amostra Geral,F1_Desatencao,5,< 1,Inferior
Amostra Geral,F1_Desatencao,6,1,Inferior
Amostra Geral,F1_Desatencao,7,> 1 e < 5,Inferior
Amostra Geral,F1_Desatencao,8,> 1 e < 5,Inferior
Amostra Geral,F1_Desatencao,9,> 1 e < 5,Inferior
Amostra Geral,F1_Desatencao,10,> 1 e < 5,Inferior
Amostra Geral,F1_Desatencao,11,> 1 e < 5,Inferior
Amostra Geral,F1_Desatencao,12,5,Inferior
Amostra Geral,F1_Desatencao,13,> 5 e < 10,Inferior
Amostra Geral,F1_Desatencao,14,> 5 e < 10,Inferior
Amostra Geral,F1_Desatencao,15,> 5 e < 10,Inferior
Amostra Geral,F1_Desatencao,16,> 5 e < 10,Inferior
Amostra Geral,F1_Desatencao,17,10,Inferior
Amostra Geral,F1_Desatencao,18,> 10 e < 15,Inferior
Amostra Geral,F1_Desatencao,19,15,Inferior
Amostra Geral,F1_Desatencao,20,> 15 e < 20,Inferior
Amostra Geral,F1_Desatencao,21,> 15 e < 20,Inferior
Amostra Geral,F1_Desatencao,22,20,Inferior
Amostra Geral,F1_Desatencao,23,> 20 < 25,Inferior
Amostra Geral,F1_Desatencao,24,> 20 < 25,Inferior
Amostra Geral,F1_Desatencao,25,25,Média Inferior
Amostra Geral,F1_Desatencao,26,> 25 e < 30,Média Inferior
Amostra Geral,F1_Desatencao,27,30,Média Inferior
Amostra Geral,F1_Desatencao,28,> 30 e < 25,Média Inferior
Amostra Geral,F1_Desatencao,29,35,Média Inferior
Amostra Geral,F1_Desatencao,30,> 35 e < 40,Média Inferior
Amostra Geral,F1_Desatencao,31,40,Média Inferior
Amostra Geral,F1_Desatencao,32,> 40 e < 45,Média Inferior
Amostra Geral,F1_Desatencao,33,45,Média
Amostra Geral,F1_Desatencao,34,> 45 e < 50,Média
Amostra Geral,F1_Desatencao,35,50,Média
Amostra Geral,F1_Desatencao,36,> 50 e < 55,Média
Amostra Geral,F1_Desatencao,37,55,Média
Amostra Geral,F1_Desatencao,38,> 55 e < 60,Média
Amostra Geral,F1_Desatencao,39,> 55 e < 60,Média
Amostra Geral,F1_Desatencao,40,60,Média
Amostra Geral,F1_Desatencao,41,> 60 e < 65,Média
Amostra Geral,F1_Desatencao,42,65,Média Superior
Amostra Geral,F1_Desatencao,43,> 65 e < 70,Média Superior
Amostra Geral,F1_Desatencao,44,70,Média Superior
Amostra Geral,F1_Desatencao,45,> 70 e < 75,Média Superior
Amostra Geral,F1_Desatencao,46,75,Média Superior
Amostra Geral,F1_Desatencao,47,> 75 e <80,Média Superior
Amostra Geral,F1_Desatencao,48,> 75 e <80,Média Superior
Amostra Geral,F1_Desatencao,49,80,Média Superior
Amostra Geral,F1_Desatencao,50,> 80 e < 85,Média Superior
Amostra Geral,F1_Desatencao,51,> 80 e < 85,Média Superior
Amostra Geral,F1_Desatencao,52,> 80 e < 85,Média Superior
Amostra Geral,F1_Desatencao,53,> 80 e < 85,Média Superior
Amostra Geral,F1_Desatencao,54,85,Superior
Amostra Geral,F1_Desatencao,55,> 85 e < 90,Superior
Amostra Geral,F1_Desatencao,56,> 85 e < 90,Superior
Amostra Geral,F1_Desatencao,57,> 85 e < 90,Superior
Amostra Geral,F1_Desatencao,58,90,Superior
Amostra Geral,F1_Desatencao,59,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,60,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,61,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,62,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,63,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,64,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,65,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,66,> 90 e < 95,Superior
Amostra Geral,F1_Desatencao,67,95,Superior
Amostra Geral,F1_Desatencao,68,> 95 e < 99,Superior
